longitude,Latitude,pH,EC,OC,N,P,K
83.15777869,19.83388936,6.8,0.06,0.43,149,8.75,50
82.10583384,20.09722301,8.01,0.1,0.3,133,10.5,971.25
82.03888934,20.10805635,8.01,0.1,0.3,133,10.5,971.25
82.19638947,20.16222306,8.01,0.1,0.3,133,10.5,971.25
81.9913893,20.30305651,8.01,0.1,0.3,133,10.5,971.25
81.95305594,20.35527877,8.01,0.1,0.3,133,10.5,971.25
81.40694465,20.39750009,8.3,0.1,0.37,141,3.5,596.25
81.40027798,20.39972231,8.3,0.1,0.37,141,3.5,596.25
81.44444468,20.40222231,8.3,0.1,0.37,141,3.5,596.25
81.45444469,20.40527787,8.3,0.1,0.37,141,3.5,596.25
81.45388913,20.41333343,8.3,0.1,0.37,141,3.5,596.25
82.13527835,20.44027886,8.4,0.12,0.36,141,10.5,541.25
79.75388986,20.46584069,8.4,0.14,0.42,149,1.75,541.25
81.83138917,20.5152789,8.01,0.1,0.3,133,10.5,971.25
176.6200784,20.52000732,6.8,0.08,0.34,133,5.25,75
86.13583931,20.61778519,8.1,0.14,0.72,197,8.75,485
187.0034201,20.69500754,8.4,0.12,0.42,149,5.25,596.25
84.87889104,20.77000137,8.1,0.23,0.59,173,8.75,500
84.51333519,20.77000137,8.1,0.23,0.59,173,8.75,500
82.46527799,20.79139027,8.1,0.23,0.59,173,8.75,500
82.31527787,20.79472361,8.1,0.23,0.59,173,8.75,500
165.2406249,20.83500765,8.4,0.12,0.4,149,7,485
81.72916704,20.85888911,8.04,0.08,0.39,141,10.63,725
81.72944482,20.85916688,8.04,0.08,0.39,141,10.63,725
81.7297226,20.85944466,8.04,0.08,0.39,141,10.63,725
81.73000037,20.85972244,8.04,0.08,0.39,141,10.63,725
81.73027815,20.86000022,8.04,0.08,0.39,141,10.63,725
79.05777819,20.95500774,8.4,0.18,0.42,149,5.25,457.5
88.86389715,21.12000788,8.4,0.12,0.34,133,3.5,596.25
92.85890025,21.12250782,8.1,0.13,0.5,165,8.75,555
167.1800709,21.13000788,8.4,0.1,0.37,141,3.5,416.25
81.29389109,21.17000792,8.5,0.13,0.39,141,7,527.5
82.37861183,21.211389,8.3,0.08,0.46,157,8.75,541.25
80.33277922,21.23500798,8.4,0.08,0.43,149,5.25,443.75
82.04222224,21.36333346,8.2,0.2,0.73,197,8.75,362.5
79.00944482,21.38278586,8.3,0.25,0.42,149,5.25,362.5
82.07555637,21.38944525,8.5,0.12,0.31,133,10.5,513.75
79.78083433,21.50889708,8.4,0.12,0.36,141,3.5,555
82.06388934,21.54222399,8.5,0.11,0.4,149,7,596.25
82.03888932,21.56666845,8.5,0.11,0.4,149,7,596.25
82.14027829,21.60000181,8.5,0.11,0.4,149,7,596.25
79.20250042,21.62889712,7.9,0.18,0.3,133,8.75,555
91.37584362,21.65778608,8.4,0.1,0.4,149,5.25,500
82.00916742,21.73500108,8.5,0.12,0.31,133,10.5,513.75
82.03916745,21.74138997,8.5,0.12,0.31,133,10.5,513.75
81.98638963,21.74750109,8.5,0.12,0.31,133,10.5,513.75
83.3811112,21.75833349,8.5,0.15,0.34,133,3.5,582.5
83.38166675,21.75861127,8.5,0.15,0.34,133,3.5,582.5
83.38083342,21.75861127,8.5,0.15,0.34,133,3.5,582.5
83.38083342,21.75888905,8.5,0.15,0.34,133,3.5,582.5
83.38250009,21.75916682,8.5,0.15,0.34,133,3.5,582.5
81.94666737,21.76388999,8.5,0.12,0.31,133,10.5,513.75
81.92055624,21.79305668,8.5,0.12,0.31,133,10.5,513.75
82.18833388,21.8236131,8.5,0.11,0.4,149,7,596.25
